rank,capsule_id,capsule_path,discipline,risk,tier_A_unresolved,tier_A_total,claims_already_registered
55,capsule:eisa_ii:como_e_quando_encaminhar_para_o_nefrologista,capsules/EISA_II/como_e_quando_encaminhar_para_o_nefrologista.md,EISA_II,medium,15,15,0
56,capsule:eisa_ii:neoplasia_vesical,capsules/EISA_II/neoplasia_vesical.md,EISA_II,high,15,15,0
57,capsule:eisa_ii:nodulos_tireoidianos_e_cancer_de_tireoide,capsules/EISA_II/nodulos_tireoidianos_e_cancer_de_tireoide.md,EISA_II,medium,15,15,0
58,capsule:eisa_ii:patologias_penianas_e_escrotais,capsules/EISA_II/patologias_penianas_e_escrotais.md,EISA_II,high,15,15,0
59,capsule:eisca:bronquiolite_viral_aguda,capsules/EISCA/bronquiolite_viral_aguda.md,EISCA,high,15,15,0
60,capsule:eism:depressao,capsules/EISM/depressao.md,EISM,high,15,15,0
61,capsule:casos_clinicos:cirrose_hepatica_ascite_pbe,capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,CASOS_CLINICOS,high,14,14,0
62,capsule:casos_clinicos:colite_pseudomembranosa,capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,CASOS_CLINICOS,high,14,14,0
63,capsule:eisa_ii:diabetes_mellitus_conceito_classificacao_diagnostico,capsules/EISA_II/diabetes_mellitus_conceito_classificacao_diagnostico.md,EISA_II,high,14,14,0
64,capsule:eisa_ii:erisipela,capsules/EISA_II/erisipela.md,EISA_II,high,14,14,0
65,capsule:eisa_ii:glomerulopatias_primarias,capsules/EISA_II/glomerulopatias_primarias.md,EISA_II,high,14,14,0
66,capsule:eisca:faringoamigdalite_estreptococica_escarlatina,capsules/EISCA/faringoamigdalite_estreptococica_escarlatina.md,EISCA,high,14,14,0
67,capsule:eisca:febre_reumatica,capsules/EISCA/febre_reumatica.md,EISCA,high,14,14,0
68,capsule:eisca:semiologia_e_classificacao_do_recem_nascido,capsules/EISCA/semiologia_e_classificacao_do_recem_nascido.md,EISCA,medium,14,14,0
69,capsule:eisa_ii:farmacoterapia_convulsoes_mecanismo_escolha,capsules/EISA_II/farmacoterapia_convulsoes_mecanismo_escolha.md,EISA_II,high,13,13,0
70,capsule:eisa_ii:hipertensao_intracraniana,capsules/EISA_II/hipertensao_intracraniana.md,EISA_II,high,13,13,0
71,capsule:eisa_ii:traumatismo_cranioencefalico,capsules/EISA_II/traumatismo_cranioencefalico.md,EISA_II,high,13,13,0
